"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","B1","B2","B3","B4","C1","C2","C3","C4","C5","D1","D2","D3","D4","D5","D6","E","F1","F2","F3","F4","F5","F6","F7"
"68","Female","Kenya","Student","No","Yes","Yes","Food products","Yes","No","Step up their support",1,2,5,5,"Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","SomewhatDisagrees","Undecided","SomewhatAgrees","StronglyAgrees","StronglyAgrees","Undecided"
"69","Male","Kenya","Business Development Officer","Yes","No","Yes","Food products","Yes","Yes","Step up their support",4,1,5,1,"Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"70","Male","Kajiado","Student","No","No","Yes","From all industries","Yes","Yes","Step up their support",1,4,5,5,"Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","StronglyDisagrees","StronglyAgrees","StronglyAgrees","SomewhatAgrees","SomewhatAgrees"
"71","Male","Rongai","Driver","Yes","Yes","Yes","From all industries","No","No","Step up their support",4,3,2,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","All of the above","StronglyAgrees","SomewhatAgrees","StronglyDisagrees","StronglyDisagrees","StronglyDisagrees","StronglyDisagrees","StronglyAgrees"
"72","Female","Nairobi","Student","No","No","Yes","From all industries","Yes","Yes","Step up their support",3,2,1,1,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Twitter","SomewhatAgrees","SomewhatAgrees","StronglyDisagrees","Undecided","StronglyDisagrees","StronglyDisagrees","StronglyAgrees"
"73","Female","Nairobi","Administra","No","No","No","From all industries","No","Yes","Step up their support",3,2,1,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","StronglyDisagrees","StronglyDisagrees","SomewhatDisagrees"
"74","Male","Nairobi","Business dvpt","Yes","No","Yes","From all industries","Yes","No","Step up their support",3,3,2,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","StronglyAgrees","StronglyAgrees","SomewhatAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"75","Female","Mombasa","Research Intern","No","Yes","Yes","Food products","Yes","No","Step up their support",4,3,1,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatDisagrees","StronglyAgrees","StronglyAgrees","SomewhatDisagrees","StronglyAgrees"
"76","Male","Nakuru","Finance","No","Yes","Yes","Food products","Yes","Yes","Already doing enough",4,3,1,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyDisagrees","Undecided","Undecided","StronglyAgrees","SomewhatDisagrees","StronglyAgrees","Undecided"
"77","Male","Kenya","Consultant","No","No","Yes","From all industries","No","No","Step up their support",3,2,1,1,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","StronglyDisagrees","SomewhatDisagrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"78","Male","Kenya","Data Specialist","No","Yes","Yes","Food products","Yes","No","Step up their support",2,4,1,4,"Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","TV","SomewhatAgrees","StronglyDisagrees","StronglyDisagrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"79","Female","Kiambu","Data analysis","No","No","Yes","From all industries","Yes","Yes","Step up their support",2,2,4,1,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","All of the above","Undecided","SomewhatAgrees","Undecided","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"80","Female","Nairobi","Sales representatve","Yes","No","Yes","From all industries","Yes","Yes","Step up their support",2,3,2,1,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Facebook","Undecided","Undecided","StronglyDisagrees","StronglyAgrees","StronglyDisagrees","StronglyAgrees","StronglyAgrees"
"81","Female","Nairobi","Sales representatve","Yes","No","Yes","From all industries","No","Yes","Step up their support",2,3,5,1,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","StronglyAgrees","SomewhatAgrees","SomewhatDisagrees","StronglyAgrees","SomewhatDisagrees","StronglyAgrees","SomewhatDisagrees"
"82","Female","Nairobi","Sales representatve","Yes","No","Yes","From all industries","No","Yes","Step up their support",3,3,3,1,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Radio","SomewhatAgrees","Undecided","StronglyAgrees","StronglyAgrees","SomewhatDisagrees","StronglyAgrees","SomewhatAgrees"
"83","Female","Nairobi","Social worker","Yes","No","Yes","Food products","No","No","Step up their support",3,3,5,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Facebook","SomewhatDisagrees","StronglyAgrees","StronglyAgrees","Undecided","SomewhatDisagrees","SomewhatDisagrees","StronglyAgrees"
"84","Female","Nairobi","Business woman","No","No","Yes","Pharmaceutical","Yes","Yes","Step up their support",3,3,5,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","Undecided","SomewhatAgrees","StronglyAgrees","SomewhatDisagrees","StronglyAgrees","StronglyAgrees","StronglyDisagrees"
"85","Female","Embu","student","Yes","Yes","Yes","Retail","Yes","Yes","Step up their support",1,3,4,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","TV","StronglyAgrees","SomewhatAgrees","Undecided","StronglyAgrees","SomewhatAgrees","SomewhatDisagrees","StronglyAgrees"
"86","Male","Nairobi","Student","Yes","No","Yes","Food products","No","No","Step up their support",3,2,1,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","SomewhatDisagrees","Undecided","StronglyAgrees","StronglyDisagrees","StronglyAgrees"
"87","Male","Nairobi","Athlete","Yes","No","Yes","From all industries","No","Yes","Step up their support",3,2,3,2,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","StronglyAgrees","Undecided","Undecided","StronglyAgrees","StronglyDisagrees","SomewhatAgrees","StronglyAgrees"
